date,summary,sunriseTime,apparentTemperatureMinTime,moonPhase,icon,precipType,apparentTemperatureMax,temperatureMax,time,apparentTemperatureMaxTime,sunsetTime,pressure,windSpeed,temperatureMin,apparentTemperatureMin,windBearing,temperatureMaxTime,temperatureMinTime
12/31/2011,Partly cloudy throughout the day.,1325345141,1325329200,0.24,partly-cloudy-day,,58.39,58.39,1325318400,1325372400,1325379645,1022.21,1.85,46.21,41.94,31,1325372400,1325329200
1/1/2012,Partly cloudy throughout the day.,1325431551,1325433600,0.27,partly-cloudy-day,,57.69,57.69,1325404800,1325462400,1325466090,1020.82,2.35,49.17,47.52,264,1325462400,1325433600
1/2/2012,Mostly cloudy throughout the day.,1325517959,1325516400,0.3,partly-cloudy-night,,54.9,54.9,1325491200,1325545200,1325552537,1024.27,0.98,49.23,46.92,312,1325545200,1325509200
1/3/2012,Foggy until afternoon.,1325604365,1325620800,0.33,fog,,55.02,55.02,1325577600,1325638800,1325638986,1026.41,2.11,47.5,45.31,329,1325638800,1325610000
1/4/2012,Partly cloudy throughout the day.,1325690769,1325692800,0.36,partly-cloudy-day,,57.03,57.03,1325664000,1325732400,1325725435,1026.71,3.67,46.73,43.07,323,1325732400,1325678400
1/5/2012,Partly cloudy throughout the day.,1325777171,1325775600,0.39,partly-cloudy-day,,57.27,57.27,1325750400,1325808000,1325811886,1024.26,1.27,45.9,45.9,191,1325808000,1325775600
1/6/2012,Mostly cloudy until evening.,1325863571,1325840400,0.42,partly-cloudy-day,,53.93,53.93,1325836800,1325894400,1325898339,1021.03,0.38,47.49,45.57,238,1325894400,1325847600
1/7/2012,Partly cloudy throughout the day.,1325949969,1325952000,0.45,partly-cloudy-day,,64.88,64.88,1325923200,1325980800,1325984792,1021.47,6.09,44.84,43.2,348,1325980800,1325952000
1/8/2012,Partly cloudy throughout the day.,1326036365,1326092400,0.48,partly-cloudy-day,,60.85,60.85,1326009600,1326056400,1326071247,1022.37,1.9,50.39,50.39,342,1326056400,1326092400
1/9/2012,Partly cloudy throughout the day.,1326122759,1326121200,0.52,partly-cloudy-day,,58.91,58.91,1326096000,1326153600,1326157703,1022.64,3.39,45.09,41.63,329,1326153600,1326117600
1/10/2012,Partly cloudy until evening.,1326209151,1326204000,0.55,partly-cloudy-day,,57.63,57.63,1326182400,1326240000,1326244160,1020.3,2.69,44.11,41.49,324,1326240000,1326207600
1/11/2012,Partly cloudy throughout the day.,1326295541,1326290400,0.58,partly-cloudy-day,,58.61,58.61,1326268800,1326330000,1326330617,1018.62,2.78,44.1,40.89,340,1326330000,1326297600
1/12/2012,"Partly cloudy starting in the afternoon, continuing until evening.",1326381929,1326384000,0.62,partly-cloudy-day,,61.21,61.21,1326355200,1326416400,1326417076,1018.53,2.74,43.98,41.86,336,1326416400,1326380400
1/13/2012,Partly cloudy until evening.,1326468315,1326459600,0.66,partly-cloudy-day,,59.99,59.99,1326441600,1326499200,1326503536,1021.57,2.17,45.64,42.51,320,1326499200,1326466800
1/14/2012,Partly cloudy throughout the day.,1326554698,1326553200,0.69,partly-cloudy-day,,58.22,58.22,1326528000,1326585600,1326589997,1020.74,3.41,43.59,40.7,340,1326585600,1326556800
1/15/2012,"Partly cloudy throughout the day and breezy starting in the afternoon, continuing until evening.",1326641080,1326693600,0.73,wind,,50.16,50.16,1326614400,1326650400,1326676458,1018.58,9.15,45.19,41.34,269,1326650400,1326697200
1/16/2012,Clear throughout the day.,1326727460,1326718800,0.77,clear-day,,49.31,49.31,1326700800,1326758400,1326762920,1024.67,5.7,40.57,34.85,339,1326758400,1326729600
1/17/2012,Partly cloudy throughout the day.,1326813838,1326816000,0.81,partly-cloudy-day,,45.85,49.57,1326787200,1326844800,1326849383,1028.43,0.12,37.41,32.74,304,1326844800,1326816000
1/18/2012,Partly cloudy throughout the day.,1326900215,1326895200,0.84,partly-cloudy-day,,51.03,51.03,1326873600,1326931200,1326935847,1028.04,2.86,37.85,33.73,156,1326931200,1326895200
1/19/2012,Light rain starting in the afternoon.,1326986589,1326985200,0.88,rain,rain,44.06,49.47,1326960000,1327042800,1327022311,1021.07,9.29,42.52,37.69,135,1327042800,1326981600
1/20/2012,Rain in the morning and evening.,1327072961,1327046400,0.92,rain,rain,56.89,56.89,1327046400,1327129200,1327108776,1013.25,13.86,49.66,44.3,147,1327129200,1327046400
1/21/2012,Light rain in the morning and breezy until afternoon.,1327159331,1327215600,0.95,rain,rain,55.37,55.37,1327132800,1327140000,1327195241,1014.64,12.27,47.21,45.18,271,1327140000,1327215600
1/22/2012,"Rain until afternoon, starting again overnight, and breezy starting in the afternoon.",1327245700,1327237200,0.98,rain,rain,52.15,52.15,1327219200,1327273200,1327281707,1017.49,13.13,45.2,41.38,138,1327273200,1327233600
1/23/2012,Light rain in the morning.,1327332067,1327312800,0.03,rain,rain,55.37,55.37,1327305600,1327320000,1327368173,1011.51,4.14,49.37,43.08,230,1327320000,1327388400
1/24/2012,Mostly cloudy throughout the day.,1327418431,1327413600,0.06,partly-cloudy-day,,53.81,53.81,1327392000,1327449600,1327454639,1026.31,0.93,47.82,45.91,146,1327449600,1327417200
1/25/2012,Mostly cloudy throughout the day.,1327504794,1327496400,0.09,partly-cloudy-day,,58.81,58.81,1327478400,1327532400,1327541106,1029.21,1.59,49.24,48.38,271,1327532400,1327485600
1/26/2012,Foggy in the morning.,1327591156,1327647600,0.12,fog,,55.52,55.52,1327564800,1327622400,1327627573,1026.11,1.41,51.85,51.85,245,1327622400,1327647600
1/27/2012,Foggy in the morning.,1327677515,1327683600,0.15,fog,rain,59.87,59.87,1327651200,1327708800,1327714041,1024.21,1.05,46,44.78,289,1327708800,1327687200
1/28/2012,Partly cloudy throughout the day.,1327763873,1327744800,0.18,partly-cloudy-day,,62.52,62.52,1327737600,1327791600,1327800508,1025.36,2.7,46.24,46.24,354,1327791600,1327744800
1/29/2012,Mostly cloudy throughout the day.,1327850229,1327831200,0.21,partly-cloudy-day,,58.59,58.59,1327824000,1327878000,1327886976,1023.1,3.21,48.15,45.7,308,1327878000,1327849200
1/30/2012,Mostly cloudy throughout the day.,1327936583,1327939200,0.24,partly-cloudy-day,,54.53,54.53,1327910400,1327964400,1327973444,1018.27,1.72,48.88,48.88,204,1327964400,1327939200
1/31/2012,Mostly cloudy throughout the day.,1328022935,1328068800,0.27,partly-cloudy-day,,52.84,52.84,1327996800,1328047200,1328059912,1020.17,3.54,49,45.44,248,1328047200,1328018400
2/1/2012,Mostly cloudy throughout the day.,1328109286,1328108400,0.3,partly-cloudy-day,,56.84,56.84,1328083200,1328140800,1328146380,1023.88,1.31,48,43.39,211,1328140800,1328101200
2/2/2012,Partly cloudy throughout the day.,1328195636,1328180400,0.33,partly-cloudy-day,,61.57,61.57,1328169600,1328230800,1328232847,1019.2,0.91,45.43,45.07,322,1328230800,1328194800
2/3/2012,Partly cloudy throughout the day.,1328281983,1328266800,0.36,partly-cloudy-day,,60.22,60.22,1328256000,1328310000,1328319315,1016.57,1.99,48.23,47.85,328,1328310000,1328281200
2/4/2012,Partly cloudy until evening.,1328368330,1328356800,0.39,partly-cloudy-day,,61.09,61.09,1328342400,1328403600,1328405783,1018.15,2.73,46.92,45.14,313,1328403600,1328367600
2/5/2012,Mostly cloudy throughout the day.,1328454674,1328443200,0.43,partly-cloudy-day,,59.09,59.09,1328428800,1328490000,1328492251,1017.85,1.54,48.22,46,308,1328490000,1328446800
2/6/2012,Rain overnight.,1328541017,1328533200,0.46,rain,rain,60.69,60.69,1328515200,1328572800,1328578719,1011.78,3.47,49.56,48.17,328,1328572800,1328533200
2/7/2012,Light rain in the morning.,1328627359,1328670000,0.49,rain,rain,57.31,57.31,1328601600,1328616000,1328665186,1011.96,4.24,52.31,52.31,93,1328616000,1328670000
2/8/2012,Foggy in the morning.,1328713699,1328720400,0.53,fog,,59.53,59.53,1328688000,1328749200,1328751653,1022.29,4.55,47.5,44.91,317,1328749200,1328716800
2/9/2012,Partly cloudy throughout the day.,1328800038,1328803200,0.57,partly-cloudy-day,,62.75,62.75,1328774400,1328835600,1328838120,1023.41,4.43,49.39,46.1,320,1328835600,1328796000
2/10/2012,Mostly cloudy throughout the day.,1328886375,1328878800,0.6,partly-cloudy-day,,58.53,58.53,1328860800,1328914800,1328924587,1021.17,2.96,49.42,47.65,191,1328914800,1328878800
2/11/2012,Mostly cloudy throughout the day.,1328972711,1329022800,0.64,partly-cloudy-day,rain,55.04,55.04,1328947200,1329004800,1329011054,1017.83,6.97,50.66,50.66,266,1329004800,1329022800
2/12/2012,Light rain in the evening and overnight.,1329059045,1329116400,0.68,rain,rain,54.5,54.5,1329033600,1329084000,1329097520,1017.22,4.81,49.31,44.91,216,1329084000,1329058800
2/13/2012,Light rain until afternoon.,1329145379,1329159600,0.72,rain,rain,53.46,53.46,1329120000,1329170400,1329183987,1014.55,9.1,48.13,42.02,297,1329170400,1329123600
2/14/2012,Light rain overnight.,1329231711,1329231600,0.75,rain,,55,55,1329206400,1329260400,1329270452,1018.04,3.78,44.91,41.88,289,1329260400,1329231600
2/15/2012,"Partly cloudy starting in the afternoon, continuing until evening.",1329318041,1329318000,0.79,partly-cloudy-day,rain,57.94,57.94,1329292800,1329350400,1329356918,1019.27,9.4,45.34,40.39,325,1329350400,1329318000
2/16/2012,Partly cloudy until evening.,1329404371,1329458400,0.83,partly-cloudy-day,,60.11,60.11,1329379200,1329429600,1329443383,1023.01,5.62,50.35,50.35,310,1329429600,1329458400
2/17/2012,Mostly cloudy throughout the day.,1329490699,1329487200,0.86,partly-cloudy-day,,56.48,56.48,1329465600,1329523200,1329529848,1023.5,2.3,46.42,44.88,212,1329523200,1329487200
2/18/2012,Partly cloudy throughout the day.,1329577026,1329634800,0.9,partly-cloudy-day,,56.03,56.03,1329552000,1329602400,1329616312,1021.26,4.12,48.84,44.41,279,1329602400,1329634800
2/19/2012,Mostly cloudy throughout the day.,1329663352,1329649200,0.93,partly-cloudy-day,,52.25,52.25,1329638400,1329692400,1329702777,1019.92,2.57,44.89,41.64,276,1329692400,1329663600
2/20/2012,Mostly cloudy throughout the day.,1329749677,1329746400,0.97,partly-cloudy-day,rain,55.96,55.96,1329724800,1329786000,1329789240,1021,1.08,47.66,44.26,285,1329786000,1329742800
2/21/2012,Mostly cloudy throughout the day.,1329836001,1329836400,0.99,partly-cloudy-day,,57.6,57.6,1329811200,1329872400,1329875704,1024.4,1.88,48.07,46.21,308,1329872400,1329825600
2/22/2012,Partly cloudy until evening.,1329922324,1329922800,0.04,partly-cloudy-day,,68,68,1329897600,1329948000,1329962167,1023.02,2.74,49.75,49.75,302,1329948000,1329922800
2/23/2012,Partly cloudy until afternoon.,1330008646,1330002000,0.07,partly-cloudy-day,,70.21,70.21,1329984000,1330041600,1330048630,1016.89,3.99,50.73,50.73,309,1330041600,1330002000
2/24/2012,Partly cloudy starting in the afternoon.,1330094967,1330146000,0.1,partly-cloudy-night,,63.9,63.9,1330070400,1330113600,1330135092,1018.01,2.56,53.88,53.88,260,1330113600,1330146000
2/25/2012,Partly cloudy throughout the day.,1330181287,1330185600,0.13,partly-cloudy-day,,57.28,57.28,1330156800,1330210800,1330221554,1024.61,10.25,49.01,43.58,330,1330210800,1330185600
2/26/2012,Partly cloudy throughout the day.,1330267606,1330264800,0.16,partly-cloudy-day,,51.65,51.65,1330243200,1330297200,1330308015,1016.82,7.37,43.41,38.63,303,1330297200,1330268400
2/27/2012,Partly cloudy until evening.,1330353924,1330351200,0.19,partly-cloudy-day,,51.84,51.84,1330329600,1330390800,1330394477,1011.04,3.26,42.54,37.79,291,1330390800,1330354800
2/28/2012,Mostly cloudy throughout the day and breezy starting in the evening.,1330440241,1330426800,0.22,wind,,52.47,52.47,1330416000,1330473600,1330480937,1020.78,6.88,43.74,41.12,217,1330473600,1330426800
2/29/2012,Rain in the morning.,1330526558,1330506000,0.25,rain,rain,53.14,53.14,1330502400,1330545600,1330567398,1021.2,9.04,48,42.69,238,1330545600,1330585200
3/1/2012,Light rain in the morning.,1330612874,1330617600,0.28,rain,rain,53.46,53.46,1330588800,1330642800,1330653858,1023.69,9.01,47.7,43.72,257,1330642800,1330671600
3/2/2012,Partly cloudy until evening.,1330699189,1330696800,0.31,partly-cloudy-day,,57.94,57.94,1330675200,1330732800,1330740318,1026.35,2.76,44,41.72,324,1330732800,1330700400
3/3/2012,Partly cloudy in the evening.,1330785503,1330786800,0.34,partly-cloudy-day,,64.63,64.63,1330761600,1330815600,1330826777,1025.98,3.89,45.58,45.58,325,1330815600,1330786800
3/4/2012,Partly cloudy in the evening.,1330871817,1330869600,0.37,partly-cloudy-night,,65.35,65.35,1330848000,1330905600,1330913236,1021.12,3.88,48.89,46.77,304,1330905600,1330873200
3/5/2012,Mostly cloudy starting in the afternoon.,1330958130,1331010000,0.41,partly-cloudy-night,,54.62,54.62,1330934400,1330984800,1330999695,1017.98,5.03,46.54,44.47,276,1330984800,1330959600
3/6/2012,Light rain in the morning.,1331044442,1331046000,0.44,rain,rain,54.33,54.33,1331020800,1331078400,1331086153,1015.93,13.01,47.01,39.52,299,1331078400,1331046000
3/7/2012,Clear throughout the day.,1331130754,1331128800,0.47,clear-day,,58.54,58.54,1331107200,1331157600,1331172611,1020.41,7.83,46.04,40.04,337,1331157600,1331132400
3/8/2012,"Partly cloudy starting in the afternoon, continuing until evening.",1331217066,1331222400,0.52,partly-cloudy-day,,62.4,62.4,1331193600,1331254800,1331259069,1025.01,1.83,46.03,45.49,269,1331254800,1331211600
3/9/2012,Partly cloudy starting in the evening.,1331303377,1331298000,0.55,partly-cloudy-night,,63.64,63.64,1331280000,1331337600,1331345526,1024.82,4.5,46.39,46.03,298,1331337600,1331305200
3/10/2012,Mostly cloudy throughout the day.,1331389687,1331377200,0.59,partly-cloudy-day,,54.62,54.62,1331366400,1331420400,1331431983,1018.59,8.96,47.47,43.3,270,1331420400,1331388000
3/11/2012,Mostly cloudy throughout the day.,1331475997,1331452800,0.63,partly-cloudy-day,,54.45,54.45,1331452800,1331506800,1331518440,1017.28,7.62,49,44.77,257,1331506800,1331456400
3/12/2012,Mostly cloudy throughout the day.,1331562307,1331557200,0.66,partly-cloudy-day,,57.04,57.04,1331535600,1331600400,1331604897,1015.98,4.65,43.27,40.32,169,1331600400,1331557200
3/13/2012,Rain throughout the day and breezy until afternoon.,1331648616,1331661600,0.7,rain,rain,55.31,55.31,1331622000,1331690400,1331691353,1013.99,17.14,52.69,52.69,162,1331690400,1331661600
3/14/2012,Rain throughout the day.,1331734925,1331733600,0.74,rain,rain,56.52,56.52,1331708400,1331769600,1331777809,1017.12,12.5,54.13,54.13,154,1331769600,1331733600
